row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,9.mzXML Peak area,15.mzXML Peak area,6.mzXML Peak area,16.mzXML Peak area,14.mzXML Peak area,10.mzXML Peak area,5.mzXML Peak area,7.mzXML Peak area,3.mzXML Peak area,2.mzXML Peak area,11.mzXML Peak area,4.mzXML Peak area,13.mzXML Peak area,12.mzXML Peak area,8.mzXML Peak area,1.mzXML Peak area,24.mzXML Peak area,28.mzXML Peak area,17.mzXML Peak area,29.mzXML Peak area,18.mzXML Peak area,19.mzXML Peak area,32.mzXML Peak area,23.mzXML Peak area,27.mzXML Peak area,22.mzXML Peak area,25.mzXML Peak area,21.mzXML Peak area,26.mzXML Peak area,30.mzXML Peak area,31.mzXML Peak area,20.mzXML Peak area,37.mzXML Peak area,38.mzXML Peak area,40.mzXML Peak area,33.mzXML Peak area,47.mzXML Peak area,43.mzXML Peak area,39.mzXML Peak area,36.mzXML Peak area,35.mzXML Peak area,42.mzXML Peak area,34.mzXML Peak area,44.mzXML Peak area,45.mzXML Peak area,41.mzXML Peak area,48.mzXML Peak area,46.mzXML Peak area,51.mzXML Peak area,49.mzXML Peak area,62.mzXML Peak area,56.mzXML Peak area,52.mzXML Peak area,60.mzXML Peak area,61.mzXML Peak area,57.mzXML Peak area,54.mzXML Peak area,64.mzXML Peak area,63.mzXML Peak area,59.mzXML Peak area,58.mzXML Peak area,50.mzXML Peak area,53.mzXML Peak area,55.mzXML Peak area,81.mzXML Peak area,70.mzXML Peak area,74.mzXML Peak area,77.mzXML Peak area,69.mzXML Peak area,73.mzXML Peak area,65.mzXML Peak area,82.mzXML Peak area,67.mzXML Peak area,78.mzXML Peak area,66.mzXML Peak area,79.mzXML Peak area,68.mzXML Peak area,76.mzXML Peak area,71.mzXML Peak area,75.mzXML Peak area,87.mzXML Peak area,88.mzXML Peak area,93.mzXML Peak area,95.mzXML Peak area,86.mzXML Peak area,92.mzXML Peak area,72.mzXML Peak area,90.mzXML Peak area,83.mzXML Peak area,96.mzXML Peak area,91.mzXML Peak area,85.mzXML Peak area,94.mzXML Peak area,80.mzXML Peak area,89.mzXML Peak area,84.mzXML Peak area,
30,389.3888386742764,3.1411333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3723.5034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,389.38825389581723,3.1399667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,389.3901532844425,3.1395833,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582.9928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,389.3886290135598,3.1406,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.96478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,389.38893984352103,3.1380668,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,389.38919694703225,3.1387832,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657.9468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,389.38920804010854,3.1375334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758.0324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,389.3885794032131,3.1413333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827.6539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,389.3887474290707,3.1411,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611.1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,389.3897402337143,3.13725,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699.8463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,389.38836385364743,3.1522334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.6418,0,0,0,0,0,0,0,0,0,0,0,0,
41,389.38905094931397,3.1511333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.6531,0,0,0,0,0,0,0,0,0,
42,389.3890554970105,3.1411333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9282.508,0,0,0,0,0,0,
43,389.3889465724949,3.1405,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7510.765,0,0,
